,PUBLISHSTATE,YEAR,Country,SEX,Display Value,Numeric,Low,High,Comments
84,PUBLISHED,2013,Australia,BTSX,82.5,82.46722,,,
85,PUBLISHED,2013,Bahamas,BTSX,74.8,74.84581999999999,,,
86,PUBLISHED,2013,Brazil,BTSX,74.7,74.73164,,,
87,PUBLISHED,2013,China,BTSX,75.6,75.58276,,,
88,PUBLISHED,2013,Comoros,BTSX,62.9,62.8992,,,
89,PUBLISHED,2013,Cabo Verde,BTSX,72.8,72.79063000000001,,,
90,PUBLISHED,2013,Germany,BTSX,80.6,80.55242,,,
91,PUBLISHED,2013,Eritrea,BTSX,64.0,64.00846999999999,,,
92,PUBLISHED,2013,Ethiopia,BTSX,63.7,63.749309999999994,,,
93,PUBLISHED,2013,Ghana,BTSX,61.9,61.919740000000004,,,
94,PUBLISHED,2013,Guyana,BTSX,65.9,65.93163,,,
95,PUBLISHED,2013,Hungary,BTSX,75.5,75.47681,,,
96,PUBLISHED,2013,Iceland,BTSX,82.4,82.41537,,,
97,PUBLISHED,2013,Kyrgyzstan,BTSX,70.7,70.69394,,,
98,PUBLISHED,2013,Morocco,BTSX,73.9,73.89715,,,
99,PUBLISHED,2013,"Macedonia, Republic of",BTSX,75.3,75.32211,,,
100,PUBLISHED,2013,Norway,BTSX,81.5,81.48119,,,
101,PUBLISHED,2013,Oman,BTSX,76.2,76.16705999999999,,,
102,PUBLISHED,2013,Sudan,BTSX,63.5,63.50551,,,
103,PUBLISHED,2013,Sweden,BTSX,81.9,81.94165,,,
104,PUBLISHED,2013,Chad,BTSX,52.2,52.18766,,,
105,PUBLISHED,2013,Tonga,BTSX,73.2,73.16799,,,
106,PUBLISHED,2013,Turkey,BTSX,75.2,75.18435,,,
107,PUBLISHED,2013,Uganda,BTSX,60.7,60.68042,,,
108,PUBLISHED,2013,Saint Vincent and the Grenadines,BTSX,72.7,72.68603,,,
109,PUBLISHED,2013,Vanuatu,BTSX,71.6,71.59818,,,
110,PUBLISHED,2013,Angola,BTSX,51.1,51.07346,,,
111,PUBLISHED,2013,Austria,BTSX,81.1,81.06575,,,
112,PUBLISHED,2013,Bosnia and Herzegovina,BTSX,77.0,77.02735,,,
113,PUBLISHED,2013,Barbados,BTSX,75.2,75.21316999999999,,,
114,PUBLISHED,2013,Central African Republic,BTSX,49.9,49.935759999999995,,,
115,PUBLISHED,2013,Canada,BTSX,81.8,81.82275,,,
116,PUBLISHED,2013,Côte d'Ivoire,BTSX,52.3,52.34333,,,
117,PUBLISHED,2013,Cyprus,BTSX,80.1,80.14259,,,
118,PUBLISHED,2013,Dominican Republic,BTSX,73.4,73.39816,,,
119,PUBLISHED,2013,Algeria,BTSX,75.3,75.26168,,,
120,PUBLISHED,2013,France,BTSX,82.0,81.99919,,,
121,PUBLISHED,2013,"Micronesia, Federated States of",BTSX,69.2,69.19045,,,
122,PUBLISHED,2013,Gambia,BTSX,60.6,60.557759999999995,,,
123,PUBLISHED,2013,Guinea-Bissau,BTSX,58.1,58.121340000000004,,,
124,PUBLISHED,2013,Guatemala,BTSX,71.4,71.40675999999999,,,
125,PUBLISHED,2013,Indonesia,BTSX,68.7,68.704,,,
126,PUBLISHED,2013,Iraq,BTSX,69.5,69.45579000000001,,,
127,PUBLISHED,2013,Jamaica,BTSX,75.6,75.58058,,,
128,PUBLISHED,2013,Kiribati,BTSX,65.8,65.84379,,,
129,PUBLISHED,2013,Lao People's Democratic Republic,BTSX,64.9,64.86088000000001,,,
130,PUBLISHED,2013,Liberia,BTSX,61.1,61.10963,,,
131,PUBLISHED,2013,Sri Lanka,BTSX,74.6,74.55085,,,
132,PUBLISHED,2013,Lesotho,BTSX,52.1,52.11234,,,
133,PUBLISHED,2013,"Moldova, Republic of",BTSX,71.7,71.71924,,,
134,PUBLISHED,2013,Mali,BTSX,57.3,57.26088000000001,,,
135,PUBLISHED,2013,Mongolia,BTSX,68.1,68.10599,,,
136,PUBLISHED,2013,Mozambique,BTSX,55.3,55.270680000000006,,,
137,PUBLISHED,2013,Malaysia,BTSX,74.6,74.60231,,,
138,PUBLISHED,2013,Namibia,BTSX,66.1,66.08712,,,
139,PUBLISHED,2013,Nicaragua,BTSX,73.9,73.87334,,,
140,PUBLISHED,2013,Netherlands,BTSX,81.4,81.3809,,,
141,PUBLISHED,2013,Papua New Guinea,BTSX,62.4,62.415369999999996,,,
142,PUBLISHED,2013,Poland,BTSX,77.1,77.05921,,,
143,PUBLISHED,2013,Qatar,BTSX,77.9,77.94932,,,
144,PUBLISHED,2013,Serbia,BTSX,75.3,75.2808,,,
145,PUBLISHED,2013,South Sudan,BTSX,56.4,56.372530000000005,,,
146,PUBLISHED,2013,Slovenia,BTSX,80.5,80.4547,,,
147,PUBLISHED,2013,Togo,BTSX,59.4,59.419540000000005,,,
148,PUBLISHED,2013,United States,BTSX,78.9,78.85654,,,
149,PUBLISHED,2013,Uzbekistan,BTSX,69.1,69.06442,,,
150,PUBLISHED,2013,South Africa,BTSX,60.9,60.898959999999995,,,
151,PUBLISHED,2013,Zambia,BTSX,60.3,60.28272,,,
152,PUBLISHED,2013,Afghanistan,BTSX,59.9,59.92601,,,
153,PUBLISHED,2013,Antigua and Barbuda,BTSX,76.1,76.07896,,,
154,PUBLISHED,2013,Bangladesh,BTSX,71.0,71.01307,,,
155,PUBLISHED,2013,Belarus,BTSX,71.7,71.72385,,,
156,PUBLISHED,2013,Switzerland,BTSX,83.0,82.96751,,,
157,PUBLISHED,2013,Chile,BTSX,80.1,80.14998,,,
158,PUBLISHED,2013,Cuba,BTSX,78.7,78.69524,,,
159,PUBLISHED,2013,Estonia,BTSX,76.9,76.88,,,
160,PUBLISHED,2013,Fiji,BTSX,69.6,69.56206,,,
161,PUBLISHED,2013,Gabon,BTSX,64.6,64.58081999999999,,,
162,PUBLISHED,2013,Greece,BTSX,80.6,80.63278000000001,,,
163,PUBLISHED,2013,Grenada,BTSX,73.3,73.32068000000001,,,
164,PUBLISHED,2013,Ireland,BTSX,81.0,80.96538000000001,,,
165,PUBLISHED,2013,Italy,BTSX,82.3,82.32585999999999,,,
166,PUBLISHED,2013,Kenya,BTSX,62.6,62.575680000000006,,,
167,PUBLISHED,2013,Libya,BTSX,72.9,72.85606999999999,,,
168,PUBLISHED,2013,Saint Lucia,BTSX,74.8,74.77778,,,
169,PUBLISHED,2013,Myanmar,BTSX,66.2,66.15154,,,
170,PUBLISHED,2013,Mauritius,BTSX,74.1,74.10355,,,
171,PUBLISHED,2013,Niger,BTSX,60.9,60.893519999999995,,,
172,PUBLISHED,2013,Panama,BTSX,77.5,77.50749,,,
173,PUBLISHED,2013,Peru,BTSX,75.3,75.28803,,,
174,PUBLISHED,2013,Portugal,BTSX,80.6,80.61548,,,
175,PUBLISHED,2013,Paraguay,BTSX,73.8,73.76443,,,
176,PUBLISHED,2013,Rwanda,BTSX,65.2,65.23911,,,
177,PUBLISHED,2013,Senegal,BTSX,66.0,66.03338000000001,,,
178,PUBLISHED,2013,Sierra Leone,BTSX,50.4,50.393390000000004,,,
179,PUBLISHED,2013,Swaziland,BTSX,57.6,57.5793,,,
180,PUBLISHED,2013,Syrian Arab Republic,BTSX,63.6,63.619719999999994,,,
181,PUBLISHED,2013,Trinidad and Tobago,BTSX,71.0,70.98109000000001,,,
182,PUBLISHED,2013,Tunisia,BTSX,74.9,74.94266999999999,,,
