Country,year,density
"Luxembourg","2013","209.791505791506"
"Macao SAR, China","2013","18747.7227722772"
"Macedonia, FYR","2013","82.1785487708168"
"Madagascar","2013","39.4028136816776"
"Malawi","2013","171.723865082732"
"Malaysia","2013","89.6830680261756"
"Maldives","2013","1310"
"Mali","2013","13.5979617928355"
"Malta","2013","1323.04375"
"Marshall Islands","2013","293.255555555556"
"Mauritania","2013","3.75733385078102"
"Mauritius","2013","620.026108374384"
"Mexico","2013","63.6539566346871"
"Micronesia, Fed. Sts.","2013","148.168571428571"
"Moldova","2013","123.918445520075"
"Monaco","2013","18764"
"Mongolia","2013","1.84040140065398"
"Montenegro","2013","46.1863940520446"
"Morocco","2013","74.9556038539099"
"Mozambique","2013","33.6569851725629"
"Myanmar","2013","81.1291556930238"
"Namibia","2013","2.85026175466725"
"Nauru","2013","506.25"
"Nepal","2013","194.174963376352"
"Netherlands","2013","499.09212949213"
"New Caledonia","2013","14.3873085339168"
"New Zealand","2013","16.8702290076336"
"Nicaragua","2013","49.4070633205917"
"Niger","2013","14.493457803742"
"Nigeria","2013","189.747704689439"
"Northern Mariana Islands","2013","117.10652173913"
"Norway","2013","13.907440211365"
"Oman","2013","12.6233021001616"
"Pakistan","2013","235.046500103778"
"Palau","2013","45.4760869565217"
"Panama","2013","51.1929378531073"
"Papua New Guinea","2013","16.1393454930884"
"Paraguay","2013","16.2740221495092"
"Peru","2013","23.87926640625"
"Philippines","2013","327.235053828353"
"Poland","2013","124.229110740995"
"Portugal","2013","114.162609170306"
"Puerto Rico","2013","405.082187147689"
"Qatar","2013","180.989491817399"
"Romania","2013","86.8742903099596"
"Russian Federation","2013","8.76278012831512"
"Rwanda","2013","449.051276854479"
"Samoa","2013","67.2756183745583"
"San Marino","2013","523.183333333333"
"Sao Tome and Principe","2013","189.985416666667"
"Saudi Arabia","2013","14.0490261386526"
"Senegal","2013","73.8640263854984"
"Serbia","2013","81.9132403384404"
"Seychelles","2013","197.582417582418"
"Sierra Leone","2013","85.6034774175672"
"Singapore","2013","7636.72135785007"
"Sint Maarten (Dutch part)","2013","1076.67647058824"
"Slovak Republic","2013","112.572637664282"
"Slovenia","2013","102.281678252234"
"Solomon Islands","2013","20.0316184351554"
"Somalia","2013","16.3677702681162"
"South Africa","2013","43.8485323777632"
"Spain","2013","93.2009456028468"
"Sri Lanka","2013","328.16137777069"
"St. Kitts and Nevis","2013","208.85"
"St. Lucia","2013","298.860655737705"
"St. Martin (French part)","2013","574.705882352941"
"St. Vincent and the Grenadines","2013","280.325641025641"
"Sudan","2013","21.0306839225589"
"Suriname","2013","3.41955128205128"
"Swaziland","2013","72.7116860465116"
"Sweden","2013","23.5684661462169"
"Switzerland","2013","204.710648851098"
"Syrian Arab Republic","2013","105.225687523825"
"Tajikistan","2013","57.9586596170334"
"Tanzania","2013","56.687126890946"
"Thailand","2013","132.027289631819"
"Timor-Leste","2013","79.3590450571621"
"Togo","2013","127.389575289575"
"Tonga","2013","146.026388888889"
"Trinidad and Tobago","2013","262.814814814815"
"Tunisia","2013","70.0727342945417"
"Turkey","2013","99.0393292880995"
"Turkmenistan","2013","11.1507841593429"
"Turks and Caicos Islands","2013","34.8452631578947"
"Tuvalu","2013","329.2"
"Uganda","2013","182.392713943746"
"Ukraine","2013","78.5224055789546"
"United Arab Emirates","2013","108.133708133971"
"United Kingdom","2013","265.06934237176"
"United States","2013","34.5919827667255"
"Uruguay","2013","19.471883213347"
"Uzbekistan","2013","71.093559003291"
"Vanuatu","2013","20.7682526661198"
"Venezuela, RB","2013","34.3246357916218"
"Vietnam","2013","289.48140742413"
"Virgin Islands (U.S.)","2013","299.248571428571"
"West Bank and Gaza","2013","692.608970099668"
"Yemen, Rep.","2013","48.3611133208326"
"Zambia","2013","20.5088661402494"
"Zimbabwe","2013","38.5112886131576"
