country,life expectancy,national income per capita,population density,air pollution,sanitation facility,education expenditure,clean water source,health expenditure,urban population percentage,carbon dioxide emission
Luxembourg,81.44892,59782.27800685941,209.791505791506,16.0,97.6,3.88,100.0,7980.82819175,89.568,18.7007821702002
Latvia,74.06218,11251.629986628799,32.362871844348,17.8,86.9,4.32887472888942,99.2,868.84844709,67.476,3.5182409036457996
Madagascar,64.71928,395.480569086296,39.40281368167761,17.4,11.7,2.08,49.7,19.20267152,33.832,0.13420599577998402
Maldives,77.88964,5484.839907116971,1310.0,27.0,98.0,5.57,98.6,860.1534007000001,43.416000000000004,2.6686055979643797
Mexico,76.63389000000002,8055.95554692687,63.6539566346871,20.2,84.4,5.04,95.6,673.81003508,78.691,3.94861524649215
Mauritania,62.74218000000001,740.4789504003239,3.75733385078102,67.7,39.5,2.93,57.9,47.46707483,58.636,0.683653507489896
Nigeria,53.16155,2482.48695248697,189.74770468943902,45.0,29.6,0.85,66.6,110.37120288,46.093999999999994,0.5534773507789189
Russian Federation,69.99681,11721.7626340407,8.76278012831512,15.2,72.2,3.5443443,96.8,1023.90331556,73.851,12.466816284548099
Sao Tome and Principe,67.14532,1487.2501649500198,189.985416666667,11.9,34.5,5.08,97.0,182.77890671,63.902,0.623277005910541
Thailand,74.46014,4659.82502162966,132.027289631819,24.5,93.1,4.8863321330372695,97.5,354.53189559,47.943000000000005,4.4938694843231
Tajikistan,69.27447,981.8828025845621,57.9586596170334,39.5,94.7,3.66,72.7,70.80293492,26.621,0.442107108401564
Ukraine,70.98906,3233.9930318633697,78.52240557895459,16.3,95.8,6.565209527228941,96.4,311.16035123,69.274,5.95963275122226
Samoa,73.58279,3554.8751222367796,67.27561837455829,3.4,91.5,4.24,99.0,288.79050092,19.44,1.25193024843742
Belgium,80.66297,38097.9441424739,369.313639365918,15.6,99.5,6.12,100.0,4813.42112301,97.77600000000001,8.37163927479096
Denmark,80.14989,50396.8435305354,132.334008955927,10.1,99.6,8.07,100.0,6637.65553157,87.324,6.77962386721691
Spain,82.38602,24002.633327017003,93.2009456028468,9.6,99.9,4.1,100.0,2643.95007588,79.12899999999999,5.08298252393364
Georgia,74.54204,3710.01364583427,66.06249343923861,18.5,87.5,1.76,99.0,286.07282837,53.309,1.9888813559322
Croatia,77.65092,10785.4012431715,76.0487669764117,18.1,97.1,4.19,99.5,1060.83388217,58.358999999999995,4.1618666213626
Israel,82.10788000000002,30710.3096520246,372.43530499075797,18.6,100.0,5.37,100.0,2853.69244395,92.012,8.81863564737267
Kuwait,74.45224,36857.8878671371,201.66604938271598,85.1,100.0,3.19,99.0,1252.53226545,98.31,27.2589636999752
Lithuania,73.0193,13041.8450489406,47.1908895093738,18.1,91.6,15.52,96.2,1019.78908502,66.554,4.27365723711993
Nepal,69.27148000000001,630.957418044316,194.174963376352,66.7,42.6,4.2,89.8,37.18347407,17.877,0.23357626865274303
Philippines,68.06879,3034.98164141328,327.235053828353,23.3,72.5,1.84,91.1,127.08827817,44.633,1.0068386034488102
Saudi Arabia,74.25284,17586.7708547374,14.049026138652598,121.9,100.0,7.1861866999999995,97.0,1052.09649526,82.719,17.927484808392897
El Salvador,72.96488000000002,3425.32073456672,293.901737451737,35.1,73.4,3.15,92.4,276.69740767,65.775,1.04416251590405
Suriname,71.24409,6888.25047463099,3.4195512820512795,16.4,79.2,3.4447781,94.8,592.48403946,66.14,3.93887149686006
Seychelles,72.89406,13017.7809150509,197.58241758241797,14.2,98.4,3.49,95.7,530.31244883,53.231,7.17899888765295
Uruguay,76.76608,14443.9571478981,19.471883213347002,11.3,96.1,4.36470687590774,99.5,1464.74757851,94.98299999999999,2.23163943099248
Zimbabwe,57.99748,799.530729068924,38.5112886131576,20.3,37.2,1.91,77.3,62.30922835,32.654,0.9249899920070301
Australia,82.46722,52290.2298966006,3.0091708212384303,5.9,100.0,5.05,100.0,6258.4673609,89.15299999999999,16.3473020462161
Brazil,74.73164,9812.70534078335,24.4383770791109,11.2,82.1,5.54,97.8,993.4641213,85.171,2.4658702351765203
China,75.58276,5814.66572777707,144.583456848168,55.7,74.2,1.79,94.0,375.144115,53.168,7.55091648469846
Comoros,62.8992,670.363865631312,403.921010209565,16.3,35.0,3.5613952942695803,90.1,53.57380017,28.104,0.214644996587721
Cabo Verde,72.79063000000002,2755.4653659125297,125.87047146402,38.3,70.1,5.01,91.0,155.55972512,64.127,0.874716613636453
Germany,80.55242,38395.0863414788,235.647997360418,13.4,99.2,4.67,100.0,5098.23693369,74.89,9.22059080376862
Ethiopia,63.74931,410.799652974145,94.558374,30.7,25.5,2.88,53.5,25.041797199999998,18.59,0.11246280525086001
Ghana,61.91974,1428.94180222105,114.988274589083,26.0,14.7,5.84,86.5,84.52763507,52.735,0.558786408969245
Guyana,65.93163,3365.91004016031,3.86605537211074,16.0,83.6,2.92,96.7,200.22173387,28.381999999999998,2.5441419754465295
Hungary,75.47681,10726.8698445433,109.27959792333999,20.5,98.0,4.47,100.0,1021.07311581,70.306,4.18886318742734
Iceland,82.41537,38683.4245488288,3.2295660847880296,7.4,98.8,7.65,100.0,4182.43583325,93.94200000000001,6.08214316600981
Morocco,73.89715,2635.1599506088,74.9556038539099,19.4,76.5,5.2,85.1,184.23049694,59.2,1.75048194934183
Norway,81.48119,78927.1573699905,13.907440211365,8.5,98.1,6.81,100.0,9719.98803692,79.939,11.740324232723598
Oman,76.16705999999998,8749.266685181421,12.6233021001616,50.1,96.7,4.66,93.3,562.89254386,76.699,15.6604231167736
Sudan,63.50551,1548.6588062594,21.0306839225589,46.1,23.6,2.18,55.5,119.37811314,33.46,0.309100309482467
Sweden,81.94165,51843.585601826104,23.5684661462169,5.5,99.3,7.08,100.0,7000.16264587,85.514,4.61718188417353
Chad,52.18766,741.316439968351,10.439793519695,45.4,12.0,1.62,50.8,33.66517607,22.226999999999997,0.0463054782261816
Tonga,73.16799,3861.0518992428797,146.02638888888902,3.9,91.1,2.93,99.5,205.21450521,23.56,1.9880253759309099
Turkey,75.18435,10018.910029116,99.0393292880995,32.4,94.1,2.64,99.8,588.20485371,72.37,4.243452638098271
Uganda,60.68042,541.873613157122,182.392713943746,59.1,18.8,2.0,77.4,52.03034883,15.437000000000001,0.133852656304432
Vanuatu,71.59818,2871.86141898505,20.7682526661198,6.0,57.9,5.02,92.1,124.15840697,25.508000000000003,0.42005411490529904
Angola,51.07346,3675.7874115286,18.8082152883613,27.2,50.6,3.57,48.2,225.73659246,42.49,1.3844963891047999
