Country,life expectancy 2013,life expectancy 2000,change
Trinidad and Tobago,70.98109,69.1,1.88109
Tunisia,74.94267,72.9,2.04267
Turkey,75.18435,70.4,4.78435
Turkmenistan,65.35018,63.8,1.55018
Uganda,60.68042,46.6,14.08042
Ukraine,70.98906,67.5,3.48906
United Arab Emirates,76.70663,74.2,2.50663
United Kingdom,80.68333,77.8,2.88333
United States,78.85654,76.8,2.05654
Uruguay,76.76608,75.1,1.66608
Uzbekistan,69.06442,67.1,1.96442
Vanuatu,71.59818,69,2.59818
Venezuela (Bolivarian Republic of),73.83881,72.5,1.33881
Viet Nam,75.70722,73.4,2.30722
Yemen,65.35676,60.8,4.55676
Zambia,60.28272,43.8,16.48272
Zimbabwe,57.99748,46,11.99748
