country,life expectancy,national income per capita,population density,air pollution,sanitation facility,education expenditure,clean water source,health expenditure,urban population percentage,carbon dioxide emission
El Salvador,72.96488,3425.320735,293.9017375,35.1,73.4,3.15,92.4,276.6974077,65.775,1.044162516
Suriname,71.24409,6888.250475,3.419551282,16.4,79.2,3.4447781,94.8,592.4840395,66.14,3.938871497
Seychelles,72.89406,13017.78092,197.5824176,14.2,98.4,3.49,95.7,530.3124488,53.231,7.178998888
Uruguay,76.76608,14443.95715,19.47188321,11.3,96.1,4.364706876,99.5,1464.747579,94.983,2.231639431
Zimbabwe,57.99748,799.5307291,38.51128861,20.3,37.2,1.91,77.3,62.30922835,32.654,0.924989992
Australia,82.46722,52290.2299,3.009170821,5.9,100,5.05,100,6258.467361,89.153,16.34730205
Brazil,74.73164,9812.705341,24.43837708,11.2,82.1,5.54,97.8,993.4641213,85.171,2.465870235
China,75.58276,5814.665728,144.5834568,55.7,74.2,1.79,94,375.144115,53.168,7.550916485
Comoros,62.8992,670.3638656,403.9210102,16.3,35,3.561395294,90.1,53.57380017,28.104,0.214644997
Cabo Verde,72.79063,2755.465366,125.8704715,38.3,70.1,5.01,91,155.5597251,64.127,0.874716614
Germany,80.55242,38395.08634,235.6479974,13.4,99.2,4.67,100,5098.236934,74.89,9.220590804
Ethiopia,63.74931,410.799653,94.558374,30.7,25.5,2.88,53.5,25.0417972,18.59,0.112462805
Ghana,61.91974,1428.941802,114.9882746,26,14.7,5.84,86.5,84.52763507,52.735,0.558786409
Guyana,65.93163,3365.91004,3.866055372,16,83.6,2.92,96.7,200.2217339,28.382,2.544141975
Hungary,75.47681,10726.86984,109.2795979,20.5,98,4.47,100,1021.073116,70.306,4.188863187
Iceland,82.41537,38683.42455,3.229566085,7.4,98.8,7.65,100,4182.435833,93.942,6.082143166
Morocco,73.89715,2635.159951,74.95560385,19.4,76.5,5.2,85.1,184.2304969,59.2,1.750481949
Norway,81.48119,78927.15737,13.90744021,8.5,98.1,6.81,100,9719.988037,79.939,11.74032423
Oman,76.16706,8749.266685,12.6233021,50.1,96.7,4.66,93.3,562.8925439,76.699,15.66042312
Sudan,63.50551,1548.658806,21.03068392,46.1,23.6,2.18,55.5,119.3781131,33.46,0.309100309
Sweden,81.94165,51843.5856,23.56846615,5.5,99.3,7.08,100,7000.162646,85.514,4.617181884
Chad,52.18766,741.31644,10.43979352,45.4,12,1.62,50.8,33.66517607,22.227,0.046305478
Tonga,73.16799,3861.051899,146.0263889,3.9,91.1,2.93,99.5,205.2145052,23.56,1.988025376
Turkey,75.18435,10018.91003,99.03932929,32.4,94.1,2.64,99.8,588.2048537,72.37,4.243452638
Uganda,60.68042,541.8736132,182.3927139,59.1,18.8,2,77.4,52.03034883,15.437,0.133852656
Vanuatu,71.59818,2871.861419,20.76825267,6,57.9,5.02,92.1,124.158407,25.508,0.420054115
Angola,51.07346,3675.787412,18.80821529,27.2,50.6,3.57,48.2,225.7365925,42.49,1.384496389
Austria,81.06575,41636.12156,102.7416971,15.6,100,5.21,100,5478.24495,65.884,7.360055782
Central African Republic,49.93576,306.2611547,7.561523644,40.4,21.6,1.15,68.3,12.53258889,39.5,0.063053981
Canada,81.82275,41427.19523,3.865998828,7.2,99.8,4.93,99.8,5619.376463,81.472,13.53229485
Cyprus,80.14259,23331.18747,123.5554113,15.9,100,5.94,100,1889.867889,67.133,5.209883572
Dominican Republic,73.39816,5328.892788,212.7774834,20.7,83.3,2.519252247,85.2,245.1778621,77.082,2.146755872
