County/City,Democratic,Republican,Total Votes Cast,Year,Republican Share
Giles County,3196,2566,6726,1996,38.1504609
Gloucester County,4710,6447,12593,1996,51.19510839
Goochland County,2784,4119,7425,1996,55.47474747
Grayson County,2661,3004,6403,1996,46.91550836
Greene County,1440,2351,4252,1996,55.29162747
Greensville County,2381,1176,3843,1996,30.6010929
Halifax County,5599,6490,13226,1996,49.07001361
Hampton City,24493,16596,44507,1996,37.28851641
Hanover County,9880,22086,34724,1996,63.60442345
Harrisonburg City,3346,4945,8937,1996,55.33176681
Henrico County,41121,54430,101992,1996,53.36693074
Henry County,9061,9110,20874,1996,43.64280924
Highland County,446,631,1221,1996,51.67895168
Hopewell City,2604,3343,6583,1996,50.78231809
Isle of Wight County,4952,5416,11369,1996,47.63831472
James City County,7247,10120,18586,1996,54.44958571
King and Queen County,1393,1073,2756,1996,38.93323657
King George County,1875,2597,4843,1996,53.62378691
King William County,1765,2346,4469,1996,52.49496532
Lancaster County,1844,2709,4893,1996,55.36480687
Lee County,4444,3225,8604,1996,37.48256625
Lexington City,1059,850,2045,1996,41.56479218
Loudoun County,19942,25715,49330,1996,52.1285222
Louisa County,3761,3768,8323,1996,45.27213745
Lunenburg County,1995,2063,4460,1996,46.25560538
Lynchburg City,10281,11441,23012,1996,49.71753868
Madison County,1734,2296,4510,1996,50.90909091
Manassas City,4378,5799,10960,1996,52.91058394
Manassas Park City,748,916,1838,1996,49.83677911
Martinsville City,2941,2446,5842,1996,41.86922287
Mathews County,1602,2206,4260,1996,51.78403756
Mecklenburg County,4408,4933,10278,1996,47.99571901
Middlesex County,1704,2141,4297,1996,49.82545962
Montgomery County,10867,10517,24298,1996,43.28339781
Nelson County,2782,1988,5264,1996,37.76595745
New Kent County,1859,2852,5267,1996,54.14847162
Newport News City,27678,23072,54288,1996,42.49926319
Norfolk City,37655,18693,60124,1996,31.09074579
Northampton County,2569,1763,4948,1996,35.6305578
Northumberland County,1957,2605,5028,1996,51.80986476
Norton City,802,416,1382,1996,30.10130246
Nottoway County,2327,2416,5214,1996,46.33678558
Orange County,3590,4435,8908,1996,49.78670858
Page County,2868,3876,7479,1996,51.82511031
Patrick County,2301,3547,6771,1996,52.38517206
Petersburg City,8105,2261,10890,1996,20.76216713
Pittsylvania County,7681,12127,21714,1996,55.84876117
Poquoson City,1409,3422,5276,1996,64.85974223
Portsmouth City,22150,10686,35409,1996,30.17876811
Powhatan County,2254,4679,7643,1996,61.21941646
Prince Edward County,2678,2530,5678,1996,44.55794294
Prince George County,3498,5216,9507,1996,54.86483644
Prince William County,33462,39292,78443,1996,50.08987418
Pulaski County,5333,5387,12304,1996,43.78250975
Radford City,2113,1742,4283,1996,40.67242587
Rappahannock County,1405,1505,3181,1996,47.31216599
Richmond County,1101,1424,2797,1996,50.9116911
Richmond City,42273,20993,67078,1996,31.2964012
Roanoke County,15387,20700,39421,1996,52.51008346
Roanoke City,17282,12283,32016,1996,38.3651924
Rockbridge County,3116,3274,7279,1996,44.97870587
Rockingham County,5867,14035,21707,1996,64.6565624
Russell County,5437,3706,10128,1996,36.59162717
Salem City,4282,4936,10079,1996,48.97311241
Scott County,3449,4086,8573,1996,47.6612621
Shenandoah County,4224,7440,13280,1996,56.02409639
Smyth County,4990,4966,11619,1996,42.7403391
Southampton County,3454,2275,6715,1996,33.87937453
Spotsylvania County,10342,13786,26197,1996,52.6243463
Stafford County,9902,14098,26089,1996,54.03810035
Staunton City,3162,4526,8435,1996,53.65737996
Suffolk City,10827,8572,20754,1996,41.30288137
Surry County,1753,944,2938,1996,32.13070116
Sussex County,2089,1378,3792,1996,36.33966245
Tazewell County,7500,6131,15440,1996,39.70854922
Virginia Beach City,52142,63741,125943,1996,50.61099069
Warren County,3814,4657,9652,1996,48.24906755
Washington County,6939,9098,18169,1996,50.07430238
Waynesboro City,2398,3466,6576,1996,52.70681265
Westmoreland County,2949,2333,5788,1996,40.30753283
Williamsburg City,1820,1560,3592,1996,43.4298441
Winchester City,3027,3681,7222,1996,50.96926059
Wise County,6712,4660,13092,1996,35.59425603
Wythe County,3275,4274,8549,1996,49.99415136
York County,7731,11396,20738,1996,54.95226155
TOTALS,1091060,1138350,2416642,1996,47.10461872
Accomack County,5092,6352,11925,2000,53.26624738
Albemarle County,16255,18291,36846,2000,49.64175216
Alexandria City,33633,19043,55199,2000,34.49881338
Alleghany County,2214,2808,5123,2000,54.81163381
Amelia County,1754,2947,4788,2000,61.5497076
Amherst County,4812,6660,11712,2000,56.8647541
Appomattox County,2132,3654,5927,2000,61.65007592
Arlington County,50260,28555,83559,2000,34.17345827
Augusta County,6643,17744,25271,2000,70.2148708
Bath County,822,1311,2210,2000,59.32126697
Bedford County,8160,17224,26149,2000,65.86867567
Bedford City,1078,1269,2441,2000,51.98689062
Bland County,851,1759,2688,2000,65.4389881
Botetourt County,4627,8867,13840,2000,64.06791908
Bristol City,2646,3495,6279,2000,55.66172957
Brunswick County,3387,2561,5997,2000,42.70468568
Buchanan County,5745,3867,9856,2000,39.23498377
Buckingham County,2561,2738,5454,2000,50.20168684
Buena Vista City,941,980,1975,2000,49.62025316
Campbell County,6659,13162,20327,2000,64.75131598
Caroline County,4314,3873,8351,2000,46.37767932
Carroll County,3638,7142,11001,2000,64.92137078
Charles City County,1981,1023,3066,2000,33.36594912
Charlotte County,2017,2855,4994,2000,57.16860232
Charlottesville City,7762,4034,13224,2000,30.50514217
Chesapeake City,33578,39684,74585,2000,53.2064088
Chesterfield County,38638,69924,110951,2000,63.0224153
Clarke County,2166,2883,5284,2000,54.56093868
Clifton Forge City,868,613,1532,2000,40.01305483
Colonial Heights City,2100,5519,7782,2000,70.92007196
Covington City,1168,966,2214,2000,43.63143631
Craig County,851,1580,2493,2000,63.37745688
Culpeper County,4364,7440,12244,2000,60.76445606
Cumberland County,1405,1974,3507,2000,56.28742515
Danville City,8221,9427,18307,2000,51.49396406
Dickenson County,3951,3122,7226,2000,43.20509272
Dinwiddie County,4001,4959,9136,2000,54.27977233
Emporia City,1116,938,2080,2000,45.09615385
Essex County,1750,1995,3831,2000,52.07517619
Fairfax County,196501,202181,413775,2000,48.86254607
Fairfax City,4361,4762,9556,2000,49.83256593
Falls Church City,3109,2131,5593,2000,38.10119793
Fauquier County,8296,14456,23481,2000,61.56466931
Floyd County,1957,3423,5739,2000,59.64453738
Fluvanna County,3431,4962,8706,2000,56.99517574
Franklin County,7145,11225,18829,2000,59.61548675
Franklin City,1763,1393,3191,2000,43.65402695
Frederick County,7158,14574,22392,2000,65.08574491
Fredericksburg City,3360,2935,6681,2000,43.93054932
Galax City,996,1160,2213,2000,52.41753276
Giles County,3004,3574,6820,2000,52.40469208
Gloucester County,4553,8718,13699,2000,63.63968173
Goochland County,3197,5378,8777,2000,61.27378375
Grayson County,2467,4236,6852,2000,61.82136602
Greene County,1774,3375,5412,2000,62.36141907
Greensville County,2314,1565,3906,2000,40.06656426
Halifax County,5963,7732,14072,2000,54.94599204
Hampton City,27490,19561,47887,2000,40.84824691
Hanover County,12044,28614,41585,2000,68.80846459
Harrisonburg City,3482,5741,9958,2000,57.65213898
Henrico County,48645,62887,114252,2000,55.0423625
Henry County,8898,11870,21463,2000,55.30447747
Highland County,453,942,1437,2000,65.55323591
Hopewell City,3024,3749,6978,2000,53.72599599
Isle of Wight County,5162,7587,12950,2000,58.58687259
James City County,9090,14628,24492,2000,59.72562469
King and Queen County,1387,1423,2859,2000,49.77264778
King George County,2070,3590,5852,2000,61.34654819
King William County,2125,3547,5769,2000,61.48379269
Lancaster County,1937,3411,5455,2000,62.52978918
Lee County,4031,4551,8748,2000,52.02331962
Lexington City,1048,957,2140,2000,44.71962617
Loudoun County,30938,42453,75653,2000,56.11542173
Louisa County,4309,5461,10096,2000,54.090729
Lunenburg County,2026,2510,4591,2000,54.67218471
Lynchburg City,10374,12518,23506,2000,53.25448822
Madison County,1844,2940,5027,2000,58.4841854
Manassas City,5262,6752,12410,2000,54.4077357
Manassas Park City,1048,1460,2580,2000,56.58914729
Martinsville City,3048,2560,5694,2000,44.9596066
Mathews County,1499,2951,4609,2000,64.02690388
Mecklenburg County,4797,6600,11654,2000,56.63291574
Middlesex County,1671,2844,4689,2000,60.65259117
Montgomery County,11720,13991,27160,2000,51.51325479
Nelson County,2907,2913,6145,2000,47.40439382
New Kent County,2055,3934,6114,2000,64.34412823
Newport News City,29779,27006,57825,2000,46.70298314
Norfolk City,38221,21920,61946,2000,35.38565848
Northampton County,2340,2299,4892,2000,46.99509403
Northumberland County,2118,3362,5605,2000,59.98215879
Norton City,867,639,1530,2000,41.76470588
Nottoway County,2460,2870,5492,2000,52.25782957
Orange County,4126,5991,10483,2000,57.1496709
Page County,2726,5089,7996,2000,63.64432216
Patrick County,2254,4901,7385,2000,66.36425186
Petersburg City,8751,2109,11062,2000,19.06526849
Pittsylvania County,7834,15760,24255,2000,64.97629355
Poquoson City,1448,4271,5861,2000,72.87152363
Portsmouth City,22286,12628,35455,2000,35.61697927
Powhatan County,2708,6820,9711,2000,70.22963649
Prince Edward County,2922,3214,6363,2000,50.51076536
Prince George County,4182,6579,10900,2000,60.35779817
Prince William County,44745,52788,100511,2000,52.51962472
Pulaski County,5255,7089,12697,2000,55.83208632
Radford City,2063,2190,4448,2000,49.23561151
Rappahannock County,1462,1850,3513,2000,52.66154284
Richmond County,1076,1784,2949,2000,60.49508308
Richmond City,42717,20265,65926,2000,30.73901041
Roanoke County,16141,25740,42817,2000,60.11630894
Roanoke City,17920,14630,33442,2000,43.74738353
Rockbridge County,2953,4522,7827,2000,57.77437077
Rockingham County,5834,17482,23994,2000,72.85988164
Russell County,5442,5065,10792,2000,46.93291327
Salem City,4348,6188,10770,2000,57.45589601
Scott County,3552,5535,9335,2000,59.2929834
Shenandoah County,4420,9636,14452,2000,66.67589261
Smyth County,4836,6580,11740,2000,56.04770017
Southampton County,3359,3293,6714,2000,49.04676795
Spotsylvania County,13455,20739,35021,2000,59.21875446
Stafford County,12596,20731,34246,2000,60.535537
Staunton City,3324,4878,8514,2000,57.29386892
Suffolk City,12471,11836,24661,2000,47.99480962
Surry County,1845,1313,3230,2000,40.6501548
Sussex County,2006,1745,3906,2000,44.67485919
Tazewell County,7227,8655,16344,2000,52.95521292
Virginia Beach City,62268,83674,149771,2000,55.86795842
Warren County,4313,6335,11166,2000,56.73473043
Washington County,7549,12064,20222,2000,59.65779844
Waynesboro City,2737,4084,7102,2000,57.50492819
Westmoreland County,2922,2932,6026,2000,48.65582476
Williamsburg City,1724,1777,3725,2000,47.70469799
Winchester City,3318,4314,7886,2000,54.70453969
Wise County,6412,6504,13310,2000,48.86551465
Wythe County,3462,6539,10225,2000,63.95110024
York County,8622,15312,24583,2000,62.28694626
TOTALS,1217290,1437490,2739447,2000,52.47372919
Accomack County,5518,7726,13356,2004,57.84666068
Albemarle County,22088,21189,43726,2004,48.45858299
Alexandria City,41116,19844,61515,2004,32.25879867
Alleghany County,3203,3962,7195,2004,55.06601807
Amelia County,1862,3499,5397,2004,64.83231425
Amherst County,4866,7758,12695,2004,61.11067349
Appomattox County,2191,4366,6655,2004,65.60480841
Arlington County,63987,29635,94650,2004,31.3100898
Augusta County,7019,22100,29704,2004,74.40075411
Bath County,828,1432,2282,2004,62.75197195
Bedford County,9102,21925,31404,2004,69.81594701
Bedford City,1042,1472,2542,2004,57.90715972
Bland County,846,1962,2865,2004,68.48167539
Botetourt County,4801,10865,15797,2004,68.77888207
Bristol City,2400,4275,6724,2004,63.57822725
Brunswick County,4062,2852,6926,2004,41.17816922
Buchanan County,5275,4507,9829,2004,45.8541052
Buckingham County,2789,3185,6027,2004,52.84552846
Buena Vista City,936,1417,2389,2004,59.3135203
Campbell County,6862,15891,22997,2004,69.10031743
Caroline County,4878,4999,9954,2004,50.22101668
Carroll County,3888,8173,12128,2004,67.38951187
Charles City County,2155,1254,3439,2004,36.4640884
Charlotte County,2223,3166,5438,2004,58.2199338
Charlottesville City,11088,4172,15450,2004,27.00323625
Chesapeake City,38744,52283,91541,2004,57.11429851
Chesterfield County,49346,83745,133814,2004,62.58313779
Clarke County,2699,3741,6505,2004,57.50960799
Colonial Heights City,2061,6129,8231,2004,74.46239825
Covington City,1179,1104,2301,2004,47.9791395
Craig County,901,1706,2621,2004,65.08966043
Culpeper County,5476,10026,15605,2004,64.24863826
Cumberland County,1721,2377,4126,2004,57.6102763
Danville City,9436,9399,19112,2004,49.17852658
Dickenson County,3761,3591,7406,2004,48.48771267
Dinwiddie County,4569,6193,10839,2004,57.13626718
Emporia City,1247,970,2221,2004,43.67402071
Essex County,2007,2304,4344,2004,53.03867403
Fairfax County,245671,211980,461379,2004,45.94487395
Fairfax City,5395,5045,10546,2004,47.83804286
Falls Church City,3944,2074,6098,2004,34.0111512
Fauquier County,10712,19011,29915,2004,63.5500585
Floyd County,2488,4162,6734,2004,61.80576181
Fluvanna County,4415,6458,10957,2004,58.93949074
Franklin County,8002,14048,22223,2004,63.21378752
Franklin City,1910,1613,3536,2004,45.61651584
Frederick County,8853,19386,28540,2004,67.92571829
Fredericksburg City,4085,3390,7542,2004,44.94828958
Galax City,987,1336,2335,2004,57.21627409
Giles County,3047,4320,7498,2004,57.6153641
Gloucester County,5105,11084,16333,2004,67.86260944
Goochland County,3583,6668,10338,2004,64.49990327
Grayson County,2430,4655,7137,2004,65.22348326
Greene County,2240,4570,6939,2004,65.85963395
Greensville County,2514,1732,4258,2004,40.67637388
Halifax County,6220,8363,14656,2004,57.06195415
Hampton City,32016,23399,55741,2004,41.97807718
Hanover County,13941,35404,49611,2004,71.36320574
Harrisonburg City,4726,6165,11030,2004,55.89301904
Henrico County,60864,71809,133418,2004,53.82257267
Henry County,9851,13358,23458,2004,56.94432603
Highland County,522,982,1520,2004,64.60526316
Hopewell City,3573,4251,7936,2004,53.56602823
Isle of Wight County,5871,9929,15871,2004,62.5606452
James City County,11934,18949,31090,2004,60.94885815
King and Queen County,1506,1737,3286,2004,52.86062082
King George County,2739,5124,7921,2004,64.68880192
King William County,2436,4397,6872,2004,63.98428405
Lancaster County,2477,3724,6230,2004,59.7752809
Lee County,4005,5664,9770,2004,57.97338792
Lexington City,1340,982,2349,2004,41.80502341
Loudoun County,47271,60382,108430,2004,55.68754035
Louisa County,4844,7083,12035,2004,58.85334441
Lunenburg County,2362,2858,5245,2004,54.48999047
Lynchburg City,11727,14400,26340,2004,54.66970387
Madison County,2176,3556,5772,2004,61.60776161
Manassas City,5562,7257,12903,2004,56.24273425
Manassas Park City,1498,1807,3332,2004,54.23169268
Martinsville City,3036,2538,5603,2004,45.29716223
Mathews County,1589,3497,5129,2004,68.18093196
Mecklenburg County,5293,7319,12780,2004,57.26917058
Middlesex County,1914,3336,5377,2004,62.04203087
Montgomery County,14128,17070,31515,2004,54.16468348
Nelson County,3543,3539,7139,2004,49.5727693
New Kent County,2443,5414,7946,2004,68.13491065
Newport News City,35319,32208,67952,2004,47.39816341
Norfolk City,43518,26401,70570,2004,37.4110812
Northampton County,2775,2669,5499,2004,48.53609747
Northumberland County,2548,3832,6409,2004,59.79091902
Norton City,725,768,1504,2004,51.06382979
Nottoway County,2635,3303,6030,2004,54.7761194
Orange County,5015,7749,12928,2004,59.93966584
Page County,3324,6221,9603,2004,64.78183901
Patrick County,2572,5507,8215,2004,67.03590992
Petersburg City,9682,2238,11949,2004,18.7296008
Pittsylvania County,9274,17673,27417,2004,64.46000657
Poquoson City,1424,5004,6480,2004,77.22222222
Portsmouth City,24112,15212,39534,2004,38.47827187
Powhatan County,3112,8955,12163,2004,73.62492806
Prince Edward County,3632,3571,7316,2004,48.81082559
Prince George County,5066,8131,13254,2004,61.34751773
Prince William County,61271,69776,132063,2004,52.83538917
Pulaski County,5310,8769,14251,2004,61.53252403
Radford City,2244,2564,4845,2004,52.92053664
Rappahannock County,1837,2172,4050,2004,53.62962963
Richmond County,1243,2082,3361,2004,61.94584945
Richmond City,52167,21637,74325,2004,29.11133535
Roanoke County,16082,30596,46973,2004,65.13529049
Roanoke City,18862,16661,36000,2004,46.28055556
Rockbridge County,3627,5412,9181,2004,58.94782703
Rockingham County,7273,21737,29216,2004,74.40101314
Russell County,5167,6077,11423,2004,53.19968485
Salem City,4254,7115,11484,2004,61.95576454
Scott County,3324,6479,9967,2004,65.0045149
Shenandoah County,5186,11820,17146,2004,68.93736148
Smyth County,4143,7906,12319,2004,64.17728712
Southampton County,3431,4018,7492,2004,53.63053924
Spotsylvania County,16623,28527,45445,2004,62.77258224
Stafford County,17208,28500,45986,2004,61.97538381
Staunton City,3756,5805,9629,2004,60.28663413
Suffolk City,15233,16763,32189,2004,52.07679642
Surry County,1954,1543,3522,2004,43.81033504
Sussex County,2420,1890,4345,2004,43.49827388
Tazewell County,7184,10039,17480,2004,57.43135011
Virginia Beach City,70666,103752,175687,2004,59.05502399
Warren County,5241,8600,14068,2004,61.13164629
Washington County,7339,14749,22514,2004,65.51034912
Waynesboro City,2792,5092,7963,2004,63.94574909
Westmoreland County,3370,3433,6848,2004,50.13142523
Williamsburg City,2216,2064,4320,2004,47.77777778
Winchester City,3967,5283,9343,2004,56.54500696
Wise County,5802,8330,14312,2004,58.20290665
Wythe County,3581,7911,11554,2004,68.46979401
York County,10276,19396,29880,2004,64.91298527
TOTALS,1454742,1716959,3198367,2004,53.68236353
Accomack County,7607,7833,15623,2008,50.13761762
Albemarle County,29792,20576,50984,2008,40.3577593
Alexandria City,50473,19181,70364,2008,27.25967824
Alleghany County,3553,3715,7369,2008,50.41389605
Amelia County,2488,3970,6529,2008,60.80563639
Amherst County,6094,8470,14700,2008,57.61904762
Appomattox County,2641,4903,7630,2008,64.25950197
Arlington County,78994,29876,110153,2008,27.12227538
Augusta County,9825,23120,33338,2008,69.35029096
Bath County,1043,1349,2432,2008,55.46875
Bedford County,11017,24420,35830,2008,68.15517723
Bedford City,1208,1497,2734,2008,54.75493782
Bland County,864,2031,2959,2008,68.6380534
Botetourt County,5693,11471,17406,2008,65.90256233
Bristol City,2665,4579,7359,2008,62.22312814
Brunswick County,4973,2877,7914,2008,36.35329795
Buchanan County,4063,4541,8734,2008,51.99221433
Buckingham County,3489,3428,6994,2008,49.01344009
Buena Vista City,1108,1282,2423,2008,52.90961618
Campbell County,8091,17444,25814,2008,67.5757341
Caroline County,7163,5617,12919,2008,43.47859741
Carroll County,4109,8187,12579,2008,65.08466492
Charles City County,2838,1288,4153,2008,31.01372502
Charlotte County,2705,3372,6157,2008,54.76693195
Charlottesville City,15705,4078,20044,2008,20.34524047
Chesapeake City,53994,52625,107521,2008,48.94392723
Chesterfield County,74310,86413,162088,2008,53.3123982
Clarke County,3457,3840,7431,2008,51.67541381
Colonial Heights City,2562,6161,8849,2008,69.62368629
Covington City,1304,1020,2354,2008,43.33050127
Craig County,877,1695,2621,2008,64.66997329
Culpeper County,8802,10711,19741,2008,54.25763639
Cumberland County,2255,2418,4724,2008,51.18543607
Danville City,12352,8361,20890,2008,40.0239349
Dickenson County,3278,3324,6753,2008,49.22256775
Dinwiddie County,6246,6526,12892,2008,50.62053987
Emporia City,1702,897,2617,2008,34.27588842
Essex County,2934,2379,5364,2008,44.35123043
Fairfax County,310359,200994,516254,2008,38.93316081
Fairfax City,6575,4691,11398,2008,41.15634322
Falls Church City,4695,1970,6750,2008,29.18518519
Fauquier County,14616,19227,34219,2008,56.18808264
Floyd County,2937,4441,7516,2008,59.08728047
Fluvanna County,6185,6420,12735,2008,50.41224971
Franklin County,9618,15414,25401,2008,60.68265029
Franklin City,2819,1576,4427,2008,35.59972894
Frederick County,12961,20149,33612,2008,59.94585267
Fredericksburg City,6155,3413,9677,2008,35.269195
Galax City,1052,1317,2402,2008,54.82930891
Giles County,3192,4462,7795,2008,57.24182168
Gloucester County,6916,12089,19222,2008,62.89147851
Goochland County,4813,7643,12562,2008,60.84222258
Grayson County,2480,4540,7220,2008,62.88088643
Greene County,3174,4980,8260,2008,60.2905569
Greensville County,3122,1729,4887,2008,35.37957847
Halifax County,8126,8600,16850,2008,51.03857567
Hampton City,46917,20476,67943,2008,30.13702663
Hanover County,18447,37344,56248,2008,66.39169393
Harrisonburg City,8444,6048,14675,2008,41.21294719
Henrico County,86323,67381,154966,2008,43.4811507
Henry County,11118,13758,25215,2008,54.56276026
Highland County,590,930,1554,2008,59.84555985
Hopewell City,5285,4149,9524,2008,43.56362873
Isle of Wight County,8573,11258,19997,2008,56.29844477
James City County,17352,20912,38603,2008,54.17195555
King and Queen County,1918,1763,3705,2008,47.58434548
King George County,4473,5888,10474,2008,56.21539049
King William County,3344,4966,8388,2008,59.20362423
Lancaster County,3235,3647,6938,2008,52.56558086
Lee County,3219,5825,9227,2008,63.12994473
Lexington City,1543,914,2479,2008,36.86970553
Loudoun County,74845,63336,139459,2008,45.41549846
Louisa County,6978,8182,15353,2008,53.29251612
Lunenburg County,2703,2900,5650,2008,51.32743363
Lynchburg City,16269,17638,34341,2008,51.3613465
Madison County,2862,3758,6699,2008,56.09792506
Manassas City,7518,5975,13627,2008,43.84677479
Manassas Park City,2463,1634,4140,2008,39.46859903
Martinsville City,4139,2311,6520,2008,35.44478528
Mathews County,1934,3456,5440,2008,63.52941176
Mecklenburg County,7127,7817,15082,2008,51.82999602
Middlesex County,2391,3545,6006,2008,59.02430902
Montgomery County,21031,19028,40653,2008,46.80589378
Nelson County,4391,3647,8133,2008,44.84200172
New Kent County,3493,6385,9991,2008,63.90751677
Newport News City,51972,28667,81295,2008,35.2629313
Norfolk City,62819,24814,88446,2008,28.05553671
Northampton County,3800,2713,6586,2008,41.19344063
Northumberland County,3312,4041,7406,2008,54.56386713
Norton City,743,744,1512,2008,49.20634921
Nottoway County,3413,3499,6988,2008,50.07155123
Orange County,7107,8506,15801,2008,53.83203595
Page County,4235,6041,10389,2008,58.1480412
Patrick County,2879,5491,8531,2008,64.36525612
Petersburg City,13774,1583,15540,2008,10.18661519
Pittsylvania County,11415,18730,30433,2008,61.54503335
Poquoson City,1748,5229,7065,2008,74.01273885
Portsmouth City,32327,13984,46665,2008,29.96678453
Powhatan County,4237,10088,14456,2008,69.78417266
Prince Edward County,5101,4174,9388,2008,44.46101406
Prince George County,7130,8752,16006,2008,54.67949519
Prince William County,93435,67621,162446,2008,41.62675597
Pulaski County,5918,8857,15050,2008,58.85049834
Radford City,2930,2418,5429,2008,44.53858906
Rappahannock County,2105,2227,4405,2008,50.55618615
Richmond County,1618,2092,3745,2008,55.8611482
Richmond City,73623,18649,93085,2008,20.03437718
Roanoke County,19812,30571,50975,2008,59.97253556
Roanoke City,24934,15394,40772,2008,37.75630335
Rockbridge County,4347,5732,10195,2008,56.22363904
Rockingham County,10453,22468,33334,2008,67.40265195
Russell County,4932,6389,11494,2008,55.58552288
Salem City,5164,7088,12406,2008,57.13364501
Scott County,2725,6980,9875,2008,70.6835443
Shenandoah County,6912,12005,19223,2008,62.4512303
Smyth County,4239,7817,12302,2008,63.54251341
Southampton County,4402,4583,9067,2008,50.54593581
Spotsylvania County,24897,28610,54069,2008,52.91386932
Stafford County,25716,29221,55455,2008,52.69317465
Staunton City,5569,5330,11015,2008,48.38856105
Suffolk City,22446,17165,39908,2008,43.01142628
Surry County,2626,1663,4325,2008,38.45086705
Sussex County,3301,2026,5363,2008,37.77736342
Tazewell County,5596,11201,17061,2008,65.65265811
Virginia Beach City,98885,100319,201249,2008,49.848198
Warren County,6997,8879,16126,2008,55.06015131
Washington County,8063,16077,24500,2008,65.62040816
Waynesboro City,3906,4815,8860,2008,54.34537246
Westmoreland County,4577,3719,8377,2008,44.39536827
Williamsburg City,4328,2353,6787,2008,34.66922057
Winchester City,5268,4725,10126,2008,46.66205807
Wise County,4995,8914,14138,2008,63.04993634
Wythe County,4107,8207,12491,2008,65.70330638
York County,13700,19833,33897,2008,58.50960262
TOTALS,1959532,1725005,3723260,2008,46.33050069
Accomack County,7655,8213,16051,2012,51.16815152
Albemarle County,29757,23297,53988,2012,43.15218197
Alexandria City,52199,20249,73541,2012,27.53430059
Alleghany County,3403,3595,7173,2012,50.11849993
Amelia County,2490,4331,6915,2012,62.63195951
Amherst County,5900,8876,14970,2012,59.29191717
Appomattox County,2453,5340,7935,2012,67.29678639
Arlington County,81269,34474,117610,2012,29.31213332
Augusta County,9451,23624,33696,2012,70.10921178
Bath County,894,1274,2223,2012,57.30994152
Bedford County,10209,26679,37437,2012,71.26372305
Bedford City,1225,1527,2805,2012,54.43850267
Bland County,735,2144,2948,2012,72.72727273
Botetourt County,5452,12479,18241,2012,68.41181953
Bristol City,2492,4780,7396,2012,64.62952948
Brunswick County,4994,2968,8042,2012,36.90624223
Buchanan County,3094,6436,9646,2012,66.72195729
Buckingham County,3750,3569,7457,2012,47.86107014
Buena Vista City,919,1564,2527,2012,61.89157103
Campbell County,7595,17695,25706,2012,68.8360694
Caroline County,7276,6151,13652,2012,45.0556695
Carroll County,3685,8736,12918,2012,67.62656758
Charles City County,2772,1396,4232,2012,32.98676749
Charlotte County,2503,3311,5898,2012,56.13767379
Charlottesville City,16510,4844,21804,2012,22.21610714
Chesapeake City,55052,53900,110483,2012,48.78578605
Chesterfield County,77694,90934,171206,2012,53.11379274
Clarke County,3239,4296,7762,2012,55.34656016
Colonial Heights City,2544,5941,8624,2012,68.88914657
Covington City,1319,975,2330,2012,41.84549356
Craig County,830,1757,2667,2012,65.87926509
Culpeper County,8285,11580,20214,2012,57.28702879
Cumberland County,2422,2538,5048,2012,50.27733756
Danville City,12218,7763,20227,2012,38.37939388
Dickenson County,2473,4274,6905,2012,61.89717596
Dinwiddie County,6550,6875,13589,2012,50.5923909
Emporia City,1793,886,2696,2012,32.86350148
Essex County,3016,2602,5677,2012,45.83406729
Fairfax County,315273,206773,530368,2012,38.98670357
Fairfax City,6651,4775,11629,2012,41.06114025
Falls Church City,5015,2147,7292,2012,29.44322545
Fauquier County,13965,21034,35574,2012,59.12745263
Floyd County,2732,4673,7646,2012,61.11692388
Fluvanna County,5893,6678,12749,2012,52.38057887
Franklin County,9090,16718,26711,2012,62.58844671
Franklin City,2833,1496,4360,2012,34.31192661
Frederick County,12690,22858,36427,2012,62.75015785
Fredericksburg City,7131,4060,11461,2012,35.42448303
Galax City,900,1332,2277,2012,58.49802372
Giles County,2730,4660,7558,2012,61.65652289
Gloucester County,6764,12137,19283,2012,62.94145102
Goochland County,4676,8448,13315,2012,63.44723995
Grayson County,2068,4801,7121,2012,67.42030614
Greene County,3290,5569,9023,2012,61.72004876
Greensville County,3135,1766,4926,2012,35.85058871
Halifax County,7766,8694,16692,2012,52.08483106
Hampton City,46966,18640,66522,2012,28.02080515
Hanover County,18294,39940,59151,2012,67.52210444
Harrisonburg City,8654,6565,15593,2012,42.10222536
Henrico County,89594,70449,162786,2012,43.27706314
Henry County,10317,13984,24963,2012,56.01890798
Highland County,459,924,1413,2012,65.39278132
Hopewell City,5179,3739,9031,2012,41.40183811
Isle of Wight County,8761,11802,20829,2012,56.66138557
James City County,17879,22843,41280,2012,55.33672481
King and Queen County,1745,1865,3655,2012,51.02599179
King George County,4477,6604,11329,2012,58.29287669
King William County,3344,5466,8925,2012,61.24369748
Lancaster County,3149,3753,6970,2012,53.84505022
Lee County,2583,6847,9598,2012,71.3377787
Lexington City,1486,1146,2689,2012,42.61807363
Loudoun County,82479,75292,160097,2012,47.02898868
Louisa County,6953,9215,16452,2012,56.01142718
Lunenburg County,2684,2969,5741,2012,51.71572897
Lynchburg City,15948,19806,36448,2012,54.3404302
Madison County,2639,3869,6617,2012,58.47060601
Manassas City,8478,6463,15200,2012,42.51973684
Manassas Park City,2879,1699,4656,2012,36.49054983
Martinsville City,3855,2312,6285,2012,36.78599841
Mathews County,1807,3488,5374,2012,64.90509862
Mecklenburg County,6921,7973,15077,2012,52.88187305
