County/City,Democratic,Republican,Total Votes Cast,Year,Republican Share
Caroline County,3186,3065,6292,1988,48.71265099
Carroll County,3190,6377,9637,1988,66.17204524
Charles City County,1839,826,2700,1988,30.59259259
Charlotte County,1923,2699,4699,1988,57.43775271
Charlottesville City,7671,5817,13652,1988,42.60914152
Chesapeake City,18828,29738,48855,1988,60.8699212
Chesterfield County (CD 3),17543,57163,75210,1988,76.00452068
Chesterfield County (CD 4),1180,1665,2873,1988,57.95335886
Clarke County,1478,2502,4020,1988,62.23880597
Clifton Forge City,961,759,1739,1988,43.64577343
Colonial Heights City,1581,6001,7638,1988,78.56768788
Covington City,1567,1274,2915,1988,43.70497427
Craig County,864,1112,2005,1988,55.46134663
Culpeper County,2555,5896,8599,1988,68.56611234
Cumberland County,1132,1978,3159,1988,62.6147515
Danville City,7353,12221,19874,1988,61.49240213
Dickenson County,4461,3091,7604,1988,40.64965807
Dinwiddie County,3405,4165,7659,1988,54.38046742
Emporia City,977,1289,2277,1988,56.609574
Essex County,1294,2038,3365,1988,60.56463596
Fairfax City,3430,5576,9101,1988,61.26799253
Fairfax County (CD 10),65549,100526,167173,1988,60.1329162
Fairfax County (CD 8),60162,100115,161192,1988,62.10916174
Falls Church City,2484,2470,4989,1988,49.50891962
Fauquier County,4837,11733,16796,1988,69.85591808
Floyd County,1727,2921,4735,1988,61.68954593
Fluvanna County,1562,2447,4059,1988,60.28578468
Franklin County,5734,7391,13261,1988,55.73486162
Franklin City,1630,1557,3210,1988,48.5046729
Frederick County,3707,9921,13717,1988,72.32631042
Fredericksburg City,2683,3401,6154,1988,55.26486838
Galax City,907,1278,2200,1988,58.09090909
Giles County,3042,3490,6648,1988,52.49699158
Gloucester County,3372,7646,11181,1988,68.38386549
Goochland County,2209,3765,6013,1988,62.61433561
Grayson County,2441,3968,6451,1988,61.50984344
Greene County,899,2234,3224,1988,69.29280397
Greensville County,2083,1610,3733,1988,43.12885079
Halifax County,4282,5671,10124,1988,56.01540893
Hampton City,19106,24034,43818,1988,54.84960519
Hanover County,5985,20570,26718,1988,76.98929561
Harrisonburg City,2799,5376,8288,1988,64.86486486
Henrico County,26980,62284,89887,1988,69.2914437
Henry County,7536,10871,18729,1988,58.04367558
Highland County,456,807,1286,1988,62.75272162
Hopewell City,2566,4672,7360,1988,63.47826087
Isle of Wight County,3747,5779,9621,1988,60.06652115
James City County,4642,8945,13773,1988,64.94590866
King and Queen County,1309,1376,2727,1988,50.45837917
King George County,1519,2587,4146,1988,62.39749156
King William County,1561,2735,4349,1988,62.88802023
Lancaster County,1551,3380,5043,1988,67.02359707
Lee County,4906,4080,9045,1988,45.10779436
Lexington City,997,994,2024,1988,49.11067194
Loudoun County,10101,20448,30862,1988,66.25623744
Louisa County,2789,3831,6702,1988,57.16204118
Lunenburg County,1870,2530,4496,1988,56.27224199
Lynchburg City (CD 5),1488,4143,5712,1988,72.53151261
Lynchburg City (CD 6),6791,11180,18214,1988,61.381355
Madison County,1427,2501,4026,1988,62.12121212
Manassas City,2658,5980,8719,1988,68.585847
Manassas Park City,434,993,1446,1988,68.67219917
Martinsville City,2794,3360,6264,1988,53.63984674
Mathews County,1235,2752,4076,1988,67.5171737
Mecklenburg County,3275,5887,9278,1988,63.45117482
Middlesex County,1361,2571,4018,1988,63.98705824
Montgomery County,8909,12326,21444,1988,57.47994777
Nelson County,2272,2502,4849,1988,51.59826768
New Kent County,1427,2917,4384,1988,66.53740876
Newport News City,21413,32570,54395,1988,59.87682691
Norfolk City,37778,30538,68891,1988,44.3279964
Northampton County,2242,2562,4927,1988,51.99918815
Northumberland County,1506,2984,4581,1988,65.13861602
Norton City,795,608,1423,1988,42.72663387
Nottoway County,2217,3161,5509,1988,57.37883463
Orange County,2592,4319,7015,1988,61.56806842
Page County,2499,5013,7575,1988,66.17821782
Patrick County,2093,3990,6229,1988,64.05522556
Petersburg City,8177,4231,12591,1988,33.60336748
Pittsylvania County,6612,12229,19201,1988,63.68939118
Poquoson City,877,3840,4751,1988,80.82508945
Portsmouth City,19698,16087,36059,1988,44.61299537
Powhatan County,1467,4040,5541,1988,72.91102689
Prince Edward County,2434,3147,5720,1988,55.01748252
Prince George County,2469,4982,7515,1988,66.29407851
Prince William County (CD 7),3886,9520,13551,1988,70.25311785
Prince William County (CD 8),15312,30134,45902,1988,65.64855562
Pulaski County,4686,6844,11719,1988,58.40088745
Radford City,1855,2481,4365,1988,56.83848797
Rappahannock County,1003,1657,2686,1988,61.69024572
Richmond County,924,1862,2811,1988,66.23977232
Richmond City,42155,31586,74736,1988,42.26343395
Roanoke County,12938,22011,35157,1988,62.60773104
Roanoke City,17185,15389,32813,1988,46.89909487
Rockbridge County,2412,3541,6062,1988,58.413065
Rockingham County,4716,13241,18241,1988,72.58922208
Russell County,6222,4374,10753,1988,40.67702037
Salem City,3760,5694,9527,1988,59.76697806
Scott County,3616,4986,8785,1988,56.75583381
Shenandoah County,3276,8612,12004,1988,71.74275242
Smyth County,3989,7446,11727,1988,63.49449987
S. Boston City,936,1694,2645,1988,64.04536862
Southampton County,3000,3439,6493,1988,52.96473125
Spotsylvania County,5486,10978,16593,1988,66.1604291
Stafford County (CD 7),2696,6168,8905,1988,69.26445817
Stafford County (CD 8),2684,6066,8807,1988,68.87702964
Staunton City,2457,5775,8334,1988,69.29445644
Suffolk City,8080,9742,17950,1988,54.2729805
Surry County,1602,1246,2899,1988,42.98033805
Sussex County,1958,1822,3896,1988,46.76591376
Tazewell County,8098,7165,15453,1988,46.36640135
Virginia Beach City,33780,76481,111018,1988,68.89063035
Warren County,2769,4700,7598,1988,61.85838379
Washington County,5819,10722,16899,1988,63.44754127
Waynesboro City,2038,4672,6799,1988,68.71598765
Westmoreland County,2311,2974,5370,1988,55.38175047
Williamsburg City,1534,1648,3237,1988,50.91133766
Winchester City,2300,4497,6862,1988,65.5348295
Wise County,7017,6189,13386,1988,46.23487225
Wythe County,3201,5827,9225,1988,63.16531165
York County,4639,11103,15871,1988,69.95778464
TOTALS,859799,1309162,2191609,1988,59.73519912
Accomack County,4950,5666,13125,1992,43.16952381
Albemarle County (CD 5),5806,5118,12515,1992,40.89492609
Albemarle County (CD 7),8080,8776,19289,1992,45.49743377
Alexandria City,30784,16700,52675,1992,31.70384433
Alleghany County,2396,2294,5657,1992,40.55152908
Amelia County,1534,2062,4224,1992,48.81628788
Amherst County,4101,5482,10908,1992,50.25669234
Appomattox County,1919,2830,5620,1992,50.35587189
Arlington County,47756,26376,82584,1992,31.93839
Augusta County,5190,12896,21866,1992,58.97740785
Bath County,855,1075,2330,1992,46.13733906
Bedford City,963,1091,2409,1992,45.28850145
Bedford County (CD 5),4936,8176,15734,1992,51.96389983
Bedford County (CD 6),1856,2320,5022,1992,46.19673437
Bland County,1001,1368,2832,1992,48.30508475
Botetourt County,4349,5904,12209,1992,48.35776886
Bristol City,2948,3616,7462,1992,48.45885821
Brunswick County,3687,2480,6718,1992,36.91574873
Buchanan County,7405,3297,11704,1992,28.16985646
Buckingham County,2193,2368,5103,1992,46.40407603
Buena Vista City,1023,849,2200,1992,38.59090909
Campbell County,5999,10931,19757,1992,55.32722579
Caroline County,3770,2947,7753,1992,38.01109248
Carroll County,3790,5664,10915,1992,51.89189189
Charles City County,2010,729,3014,1992,24.18712674
Charlotte County,2098,2293,5111,1992,44.86401878
Charlottesville City,8685,4705,14899,1992,31.57930062
Chesapeake City,23495,28909,61868,1992,46.72690244
Chesterfield County (CD 4),4178,5528,11467,1992,48.20790093
Chesterfield County (CD 7),23850,51098,90466,1992,56.48309862
Clarke County,1811,1994,4648,1992,42.90017212
Clifton Forge City,958,632,1873,1992,33.74265884
Colonial Heights City,1721,5298,8400,1992,63.07142857
Covington City,1442,995,2869,1992,34.68107354
Craig County,965,1008,2297,1992,43.88332608
Culpeper County,3444,5226,10466,1992,49.93311676
Cumberland County,1284,1643,3384,1992,48.55200946
Danville City,8134,9584,19661,1992,48.74624892
Dickenson County,4839,2574,8143,1992,31.60997175
Dinwiddie County,3624,3648,8597,1992,42.433407
Emporia City,1048,1094,2319,1992,47.17550668
Essex County,1583,1897,3904,1992,48.59118852
Fairfax City,3884,4333,9693,1992,44.70236253
Fairfax County (CD 10),25757,37713,75055,1992,50.24715209
Fairfax County (CD 11),82650,80964,190642,1992,42.46913062
Fairfax County (CD 8),51779,51811,119521,1992,43.34886756
Falls Church City,2864,1912,5404,1992,35.38119911
Fauquier County,6600,10497,20759,1992,50.56601956
Floyd County,2026,2575,5316,1992,48.4386757
Fluvanna County,2134,2811,5852,1992,48.03485988
Franklin County,6590,6724,15701,1992,42.82529775
Franklin City,1696,1347,3339,1992,40.34141959
Frederick County,4942,9425,17468,1992,53.9558049
Fredericksburg City,3266,2819,6879,1992,40.97979357
Galax City,957,1087,2344,1992,46.37372014
Giles County,3346,3023,7632,1992,39.60953878
